Element Pair,Jaccard Similarity
"('AggregationKind', 'GeneralizationSet')",0.0
"('AggregationKind', 'GeneralizationSetView')",0.0
"('AggregationKind', 'GeneralizationView')",0.0
"('AggregationKind', 'height')",0.0
"('AggregationKind', 'historicalDependence')",0.0
"('AggregationKind', 'historicalRole')",0.0
"('AggregationKind', 'historicalRoleMixin')",0.0
"('AggregationKind', 'instantiation')",0.0
"('AggregationKind', 'intrinsicModeNature')",0.0
"('AggregationKind', 'isAbstract')",0.0
"('AggregationKind', 'isComplete')",0.0
"('AggregationKind', 'isDerived')",0.0
"('AggregationKind', 'isDisjoint')",0.0
"('AggregationKind', 'isExtensional')",0.0
"('AggregationKind', 'isOrdered')",0.0
"('AggregationKind', 'isPowertype')",0.0
"('AggregationKind', 'isReadOnly')",0.0
"('AggregationKind', 'isViewOf')",0.0
"('AggregationKind', 'kind')",0.0
"('AggregationKind', 'literal')",0.0
"('AggregationKind', 'Literal')",0.0
"('AggregationKind', 'lowerBound')",0.0
"('AggregationKind', 'manifestation')",0.0
"('AggregationKind', 'material')",0.0
"('AggregationKind', 'mediation')",0.0
"('AggregationKind', 'memberOf')",0.0
"('AggregationKind', 'mixin')",0.0
"('AggregationKind', 'mode')",0.0
"('AggregationKind', 'model.1')",0.0
"('AggregationKind', 'ModelElement')",0.0
"('AggregationKind', 'name')",0.0
"('AggregationKind', 'NodeView')",0.0
"('AggregationKind', 'none')",0.0
"('AggregationKind', 'Note')",0.0
"('AggregationKind', 'NoteView')",0.0
"('AggregationKind', 'OntologicalNature')",0.0
"('AggregationKind', 'OntoumlElement')",0.0
"('AggregationKind', 'order')",0.0
"('AggregationKind', 'owner')",0.0
"('AggregationKind', 'Package')",0.0
"('AggregationKind', 'PackageView')",0.0
"('AggregationKind', 'participation')",0.0
"('AggregationKind', 'participational')",0.0
"('AggregationKind', 'Path')",0.0
"('AggregationKind', 'phase')",0.0
"('AggregationKind', 'phaseMixin')",0.0
"('AggregationKind', 'point')",0.0
"('AggregationKind', 'Point')",0.0
"('AggregationKind', 'project')",0.0
"('AggregationKind', 'Project')",0.0
"('AggregationKind', 'property')",0.0
"('AggregationKind', 'Property')",0.0
"('AggregationKind', 'PropertyStereotype')",0.0
"('AggregationKind', 'propertyType')",0.0
"('AggregationKind', 'quality')",0.0
